semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-04-14,Films (English),1,What Jennifer Did,26100000,1,False,Documentary,2024,abril
2024-04-14,Films (English),2,Woody Woodpecker Goes to Camp,19600000,1,False,"Animation, Adventure, Comedy",2024,abril
2024-04-14,Films (English),3,Scoop,14600000,2,False,"Comedy, Crime, Fantasy",2024,abril
2024-04-14,Films (English),4,Glass,11000000,2,False,"Drama, Horror, Sci-Fi",2024,abril
2024-04-14,Films (English),5,Megan Leavey,9700000,1,False,"Action, Biography, Drama",2024,abril
2024-04-14,Films (English),6,The Bricklayer,8500000,1,False,"Action, Thriller",2024,abril
2024-04-14,Films (English),7,Hotel Transylvania 2,5200000,5,False,"Animation, Adventure, Comedy",2024,abril
2024-04-14,Films (English),8,The Little Things,7300000,2,False,"Crime, Drama, Mystery",2024,abril
2024-04-14,Films (English),9,The Maze Runner,6000000,2,False,"Action, Mystery, Sci-Fi",2024,abril
2024-04-14,Films (English),10,Heart of the Hunter,5600000,3,False,"Action, Thriller",2024,abril
2024-04-14,Films (Non-English),1,The Tearsmith,29800000,2,False,"Drama, Fantasy, Romance",2024,abril
2024-04-14,Films (Non-English),2,Stolen,12600000,1,False,"Action, Crime, Thriller",2024,abril
2024-04-14,Films (Non-English),3,"Love, Divided",11100000,1,False,"Comedy, Romance",2024,abril
2024-04-14,Films (Non-English),4,The Wages of Fear,10200000,3,False,"Adventure, Drama, Thriller",2024,abril
2024-04-14,Films (Non-English),5,Death Whisperer,6700000,1,False,Horror,2024,abril
2024-04-14,Films (Non-English),6,Amar Singh Chamkila,5900000,1,False,Drama,2024,abril
2024-04-14,Films (Non-English),7,No Pressure,4400000,3,False,"Short, Comedy, Horror",2024,abril
2024-04-14,Films (Non-English),8,Suzume,4600000,1,False,"Animation, Action, Adventure",2024,abril
2024-04-14,Films (Non-English),9,Zero to Hero,3700000,2,False,"Biography, Drama, Sport",2024,abril
2024-04-14,Films (Non-English),10,Rest In Peace,2600000,3,False,"Crime, Drama, Mystery",2024,abril
2024-04-14,TV (English),1,3 Body Problem,35500000,4,False,"Adventure, Drama, Fantasy",2024,abril
2024-04-14,TV (English),2,Unlocked: A Jail Experiment,21600000,1,False,"Documentary, Reality-TV",2024,abril
2024-04-14,TV (English),3,The Gentlemen,24500000,6,False,"Action, Crime",2024,abril
2024-04-14,TV (English),4,Bad Dinosaurs,8700000,3,False,"Animation, Short, Adventure",2024,abril
2024-04-14,TV (English),5,Baby Reindeer,10400000,1,False,"Biography, Drama",2024,abril
2024-04-14,TV (English),6,RIPLEY,18400000,2,False,"Crime, Drama, Thriller",2024,abril
2024-04-14,TV (English),7,Heartbreak High,15800000,1,False,"Drama, Romance",2024,abril
2024-04-14,TV (English),8,Files of the Unexplained,10600000,2,False,Documentary,2024,abril
